 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
| 19.0/(FRExt)| 17-Ma | 03:11 |SCVCD-NEW-tratest/1_1_00059_1769x920.yuv|  179 |  0/0  | 22 | 22 | 22 |1769x920 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 43.554| 48.429| 48.477| 44.800| 48.614| 48.581|2439438|  90847|      0|  2530320|       57990724   |       57199157   |
| 19.0/(FRExt)| 17-Ma | 19:43 |SCVCD-NEW-tratest/1_1_00059_1769x920.yuv|  179 |  0/0  | 27 | 27 | 27 |1769x920 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 41.151| 43.626| 43.666| 41.675| 43.731| 43.770|1728421|  75585|      0|  1804041|       59503899   |       58718649   |
| 19.0/(FRExt)| 18-Ma | 12:21 |SCVCD-NEW-tratest/1_1_00059_1769x920.yuv|  179 |  0/0  | 32 | 32 | 32 |1769x920 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 37.549| 39.880| 39.867| 37.852| 39.945| 39.936|1190832|  50800|      0|  1241666|       59882308   |       59105025   |
| 19.0/(FRExt)| 19-Ma | 05:35 |SCVCD-NEW-tratest/1_1_00059_1769x920.yuv|  179 |  0/0  | 37 | 37 | 37 |1769x920 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 33.713| 36.978| 37.282| 33.928| 37.060| 37.353| 777094|  22914|      0|   800043|       62058204   |       61267360   |
| 19.0/(FRExt)| 19-Ma | 22:52 |SCVCD-NEW-tratest/1_1_00059_1769x920.yuv|  179 |  0/0  | 42 | 42 | 42 |1769x920 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 28.793| 34.890| 34.995| 29.072| 34.965| 35.052| 435713|  20008|      0|   455756|       62244972   |       61436472   |
| 19.0/(FRExt)| 20-Ma | 14:09 |SCVCD-NEW-tratest/1_1_00349_1731x742.yuv|  180 |  0/0  | 22 | 22 | 22 |1731x742 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 53.756| 56.416| 56.546| 56.134| 57.304| 57.315| 362929| 550777|      0|   913741|       54971768   |       54358889   |
| 19.0/(FRExt)| 21-Ma | 05:33 |SCVCD-NEW-tratest/1_1_00349_1731x742.yuv|  180 |  0/0  | 27 | 27 | 27 |1731x742 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 49.716| 51.127| 51.713| 51.284| 52.401| 52.436| 266075| 399180|      0|   665289|       55421885   |       54804958   |
| 19.0/(FRExt)| 21-Ma | 20:11 |SCVCD-NEW-tratest/1_1_00349_1731x742.yuv|  180 |  0/0  | 32 | 32 | 32 |1731x742 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 44.804| 47.497| 47.222| 46.122| 48.297| 48.095| 190029| 290441|      0|   480505|       52686616   |       52106729   |
| 19.0/(FRExt)| 22-Ma | 10:28 |SCVCD-NEW-tratest/1_1_00349_1731x742.yuv|  180 |  0/0  | 37 | 37 | 37 |1731x742 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 41.039| 44.870| 44.888| 41.709| 45.191| 45.288| 129341| 216980|      0|   346356|       51388836   |       50828683   |
| 19.0/(FRExt)| 23-Ma | 01:19 |SCVCD-NEW-tratest/1_1_00349_1731x742.yuv|  180 |  0/0  | 42 | 42 | 42 |1731x742 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 35.521| 42.259| 42.100| 36.840| 42.117| 42.614|  81871| 160104|      0|   242009|       53456279   |       52862400   |
| 19.0/(FRExt)| 23-Ma | 08:01 |SCVCD-NEW-tratest/1_2_00028_592x1280.yuv|  150 |  0/0  | 22 | 22 | 22 | 592x1280|   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 48.647| 52.976| 52.245| 47.337| 52.128| 51.385| 545432| 688203|      0|  1233674|       24132683   |       23821244   |
| 19.0/(FRExt)| 23-Ma | 14:40 |SCVCD-NEW-tratest/1_2_00028_592x1280.yuv|  150 |  0/0  | 27 | 27 | 27 | 592x1280|   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 43.987| 49.941| 48.509| 42.691| 49.089| 47.654| 387414| 303979|      0|   691432|       23949079   |       23650097   |
